'Sofa.volume_setOf_inner_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.width_pos_of_volume_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_mem_vtx2_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.const_of_continuousOn_of_finite_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.continuousOn_vtxP_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_const_on_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_gap_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.k0_eq_abs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.k0_le_add_abs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_k0_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.lipschitzWith_k0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.continuous_k0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.intervalIntegrable_armGp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.intervalIntegrable_k0_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_const_on_Ico_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.arcFn_const_on_Ico_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.armGp_eq_sub_inner' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_armGp_sub_le_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_integral_k0_armGp_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.k0_armGp_mul_le_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edgeMax_sub_edgeMin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_arcFn_nhdsLT' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.countable_edgeLength_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_edgeMax_le' depends on axioms: [propext, Classical.choice, Quot.sound]
